#col1                col2          col3          col4
#star/filter         host/magORul  refshift/unc  Av/corrected  ref
efosc_bessell_R      25.5          0.2           False         #14
twomass_J            23.6          0.2           False         #14
twomass_Ks           23.1          0.2           False         #14
*                    080928        1.692         0.1762
my_spitzer_irac_ch1  23.38         -             False
my_spitzer_irac_ch2  23.75         -             False
wfc3_ir_f160w        21.990        0.010         True          #1
grond_g              25.4          -             False         #22
grond_r              25.6          -             False         #22
grond_i              24.6          -             False         #22
grond_z              24.3          -             False         #22
grond_J              22.0          -             False         #22
grond_H              21.6          -             False         #22
grond_Ks             20.9          -             False         #22
uvot_V               20.49         -             False         #22
uvot_U               22.92         -             False         #22
uvot_B               21.27         -             False         #22
uvot_W1              22.81         -             False         #22
*                    081007        0.5295        0.0431
my_spitzer_irac_ch1  23.37         -             False
my_spitzer_irac_ch2  23.65         -             False
wfc3_ir_f160w        24.489        0.059         True          #1
gemini_gmoss_g       24.91         0.19          False         #22
gemini_gmoss_r       23.89         0.08          False         #22
gemini_gmoss_i       23.58         0.07          False         #22
gemini_gmoss_z       23.13         0.09          False         #22
fors2_bessell_I      24.29         0.20          False         #22
fors2_bessell_R      24.67         -             False         #22
#grond_g             24.66         0.11          True          #23
#grond_r             24.49         0.11          True          #23
grond_i              24.08         0.19          True          #23
#grond_z             23.96         0.24          True          #23
#grond_J             22.0          -             True          #23
#grond_H             21.1          -             True          #23
#grond_Ks            20.1          -             True          #23
grond_g              24.96         0.18          True          #8
grond_r              24.79         0.20          True          #8
grond_z              23.70         0.27          True          #8
grond_J              23.45         0.20          True          #8
grond_Ks             23.8          -             True          #8
*                    081008        1.9685        0.2517
my_spitzer_irac_ch1  23.95         -             False
wfc3_ir_f160w        23.591        0.028         True          #1
bessell_R            20.96         0.1           False         #24
*                    081109        0.9787        0.0519
my_spitzer_irac_ch1  20.70         0.06          False
my_spitzer_irac_ch2  20.86         0.05          False
wfc3_ir_f110w        21.519        0.006         True          #1
wfc3_ir_f160w        21.28         0.03          True          #10
uvot_W2              24.1          -             False         #14
uvot_M2              23.6          0.3           False         #14
uvot_W1              23.4          0.3           False         #14
uvot_U               22.9          -             False         #14
efosc_bessell_U      23.23         0.14          False         #14
grond_g              23.07         0.07          False         #14
fors2_bessell_V      22.85         0.06          False         #14
grond_r              22.74         0.07          False         #14
grond_i              22.01         0.08          False         #14
fors2_bessell_I      21.96         0.09          False         #14
grond_z              21.99         0.09          False         #14
grond_J              21.40         0.17          False         #14
isaac_Js             21.37         0.06          False         #14
grond_H              21.5          0.4           False         #14
grond_Ks             20.6          -             False         #14
isaac_Ks             21.05         0.08          False         #14
*                    081121        2.512         0.1351
my_spitzer_irac_ch1  23.85         -             False
wfc3_ir_f160w        24.923        0.054         True          #1
*                    090404        3.0           0.0557
*                    090407        1.4485        0.1802
my_spitzer_irac_ch1  22.07         0.08          False
my_spitzer_irac_ch2  22.07         0.06          False
wfc3_ir_f160w        22.953        0.019         True          #1
keck_lris_B          27.15         0.37          True          #10
keck_lris_g          26.20         0.31          True          #10
keck_lris_R          25.76         0.17          True          #10
keck_lris_I          24.77         0.24          True          #10
gemini_niri_K        22.19         0.12          True          #10
keck_nirc2_Kp        22.21         0.12          False
*                    090417B       0.345         0.0445
my_spitzer_irac_ch1  21.13         0.09          False
my_spitzer_irac_ch2  21.42         0.09          False
uvot_V               20.89         -             False         #26
uvot_B               21.27         -             False         #26
uvot_U               24.11         0.38          False         #26
uvot_W1              24.63         0.56          False         #26
uvot_M2              24.22         0.29          False         #26
uvot_W2              24.42         0.19          False         #26
bessell_B            23.16         0.13          False         #26
bessell_R            21.55         0.03          False         #26
sdss_i0              21.19         0.07          False         #26
gemini_gmosn_g       22.39         0.16          False         #27
gemini_gmosn_r       21.78         0.10          False         #27
gemini_gmosn_i       21.68         0.12          False         #27
gemini_gmosn_z       22.03         0.30          False         #27
sdss_r0              22.06         0.3           False         #28
moircs_J             20.91         -             False         #29
moircs_Ks            20.35         -             False         #29
keck_nirc2_J         20.68         0.06          False
keck_nirc2_Ks        19.87         0.05          False
*                    090424        0.544         0.0667
my_spitzer_irac_ch1  21.32         0.06          False
wfc3_ir_f160w        21.260        0.007         True          #1
twomass_J            21.60         0.11          False         #22
twomass_H            21.21         0.32          False         #22
fors2_bessell_I      21.85         0.13          False         #22
fors2_bessell_R      22.50         0.21          False         #22
sdss_r0              21.78         0.15          False         #22
sdss_i0              19.66         0.04          False         #22
*                    091127        0.49          0.1068
my_spitzer_irac_ch1  23.64         0.33          False
wfc3_ir_f160w        22.700        0.021         True          #1
gtc_osiris_sdss_z    22.39         0.28          True          #30
gtc_osiris_sdss_i    22.86         0.11          True          #30
gtc_osiris_sdss_r    23.15         0.13          True          #30
gtc_osiris_sdss_g    24.23         0.26          True          #30
tng_dolores_I        23.22         0.19          True          #30
tng_dolores_V        23.75         0.18          True          #30
tng_dolores_B        24.16         0.18          True          #30
imacs_sloan_g        24.05         0.14          False         #31
imacs_sloan_r        23.34         0.05          False         #31
imacs_sloan_i        22.89         0.07          False         #31
imacs_sloan_z        22.57         0.10          False         #31
grond_g              24.12         0.08          True          #32
grond_r              23.28         0.05          True          #32
grond_i              22.88         0.07          True          #32
grond_z              23.38         0.18          True          #32
grond_J              21.37         -             True          #32
grond_H              20.95         -             True          #32
*                    091208B       1.063         0.1396
my_spitzer_irac_ch1  23.62         -             False
wfc3_ir_f160w        26.7          -             True          #1
keck_lris_B          26.89         -             False
keck_lris_R          26.02         -             False
*                    100615A       1.398         0.1175
my_spitzer_irac_ch1  23.84         0.23          False
my_spitzer_irac_ch2  23.67         0.16          False
wfc3_uvis_f606w      25.092        0.033         True          #1
wfc3_ir_f160w        24.10         -             False         #33
grond_g              24.20         -             False         #34
grond_r              23.90         -             False         #34
grond_i              22.90         -             False         #34
grond_z              22.50         -             False         #34
grond_J              21.40         -             False         #34
grond_H              20.70         -             False         #34
grond_Ks             20.30         -             False         #34
gemini_niri_K        24.05         -             False         #35
*                    100621A       0.542         0.0822
my_spitzer_irac_ch1  21.67         0.11          False
my_spitzer_irac_ch2  21.75         0.08          False
wfc3_ir_f160w        21.316        0.006         True          #1
uvot_W2              22.31         0.04          False         #14
